"ResponseId","URL","FAKE","EXTREMITY","QUALITY","incivility","emotion","sentiment","outlet","is_domain","political","date"
"R_3e3nnBefdZk1Qzt","https://www.breitbart.com/clips/2019/08/27/msnbc-contributor-biden-pulling-a-bit-of-a-hillary/","No","Moderate","Acceptable quality",0,"0","Positive","Breitbart",1,1,"2019-08-27"
"R_2EoeljCPawADmX4","https://www.theblaze.com/news/biden-racism-is-a-white-mans-problem","No","Somewhat extreme","Acceptable quality",0,"0","Positive","The Blaze",1,1,"2019-08-27"
"R_2U5XBLAOqQWK57b","https://www.breitbart.com/2020-election/2019/08/27/joe-biden-says-racism-a-white-mans-problem-will-not-promise-black-running-mate/","No","Somewhat extreme","Poor quality",0,"0","Mixed","Breitbart",1,1,"2019-08-27"
"R_4YevJmM7zaj7qNz","https://spectator.org/david-koch-an-appreciation/","No","5","Acceptable quality",0,"0","Negative","The American Spectator",1,1,"2019-08-28"
"R_3gR6PvMKcSHhe9a","https://spectator.org/why-trumps-approval-ratings-are-up-among-minorities/","No","8","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-08-19"
"R_2sdV9jmKqgWlK7f","https://www.breitbart.com/2020-election/2019/08/27/joe-biden-says-racism-a-white-mans-problem-will-not-promise-black-running-mate/","No","Moderate","Poor quality",0,"0","Negative","Breitbart",1,1,"2019-08-27"
"R_3qsVRfzCGJP0TKq","https://www.theblaze.com/news/alexandria-ocasio-cortez-films-awkward-video-admitting-that-really-scary-climate-change-wakes-her-up-in-the-middle-of-the-night-even-while-on-vacation","No","Moderate","Very high quality",0,"Amazement","Positive","The Blaze",1,1,"2019-08-28"
"R_6MDWmWFV8UT74iZ","https://www.theblaze.com/news/omar-responds-to-alabama-gop","No","2","Very poor quality",1,"0","Positive","The Blaze",1,1,"2019-08-28"
"R_24zKTXXYOAXvI7x","https://spectator.org/why-trumps-approval-ratings-are-up-among-minorities/","Yes","8","Very poor quality",0,"Confusion","Negative","The American Spectator",1,1,"2019-08-19"
"R_cVedcV2Qynv3gDT","https://www.revivethinninghair.com/?n=db","No","5","Very high quality",0,"0","Positive",NA,0,NA,""
"R_3gSqNjVqwjihrfL","https://spectator.org/joe-biden-puts-his-foot-in-his-electability/","No","Moderate","Very high quality",0,"0","Positive","The American Spectator",1,1,"2019-08-30"
"R_3G8oFtkDxQiIE1r","https://spectator.org/doj-inspector-general-comey-set-a-dangerous-example/","Yes","5","Poor quality",0,"0","Negative","The American Spectator",1,1,"2019-08-29"
"R_1gH1TBFOBBUDYK5","https://spectator.org/playing-politics-with-the-fed-but-bill-dudley-outdoes-the-president/","No","3","Acceptable quality",0,"0","N/A","The American Spectator",1,1,"2019-08-29"
"R_1hxVPz0VxUp4uKk","https://spectator.org/","No","Somewhat extreme","Acceptable quality",0,"0","Positive","The American Spectator",1,0,""
"R_2B3AgiZcoM5w0Uh","https://www.theblaze.com/news/college-president-says-straight-pride-parade-is-a-desecration-and-a-perversion-but-doesnt-bother-explaining-why","No","Moderate","Very high quality",0,"Sadness","Neutral","The Blaze",1,1,"2019-08-30"
"R_1Hjnz1yGFm4B5bL","https://www.theblaze.com/news/dave-chappelle-if-women-have-a-right-to-kill-their-babies-men-can-abandon","No","Very Extreme","High quality",0,"0","Neutral","The Blaze",1,1,"2019-09-01"
"R_2zPfYC8Wq7P0tU4","https://www.breitbart.com/politics/2019/08/30/nolte-we-should-never-listen-to-stupid-people-especially-children/","Yes","Very Extreme","Very poor quality",1,"Anger","Negative","Breitbart",1,1,"2019-08-30"
"R_3ebpVStgoKXP3Di","https://www.theblaze.com/news/trump-aide-resigns-after-leaking-to-the-press","No","Moderate","Acceptable quality",0,"0","Neutral","The Blaze",1,1,"2019-08-19"
"R_2CZHyHQOQxEdpV9","https://www.theblaze.com/news/emergency-dispatcher-under-fire-after-horrific-911-call-is-released-featuring-the-dispatcher-chastising-a-drowning-woman","Yes","Very Extreme","Very high quality",0,"0","Positive","The Blaze",1,1,"2019-08-30"
"R_3gTaxGqCl26QCur","https://www.breitbart.com/news/hurricane-puts-10-million-in-the-crosshairs-in-florida/","Yes","Moderate","Acceptable quality",0,"Shock","Mixed","Breitbart",1,1,"2019-08-30"
"R_2w4YtW8yKlu9wqE","https://www.breitbart.com/the-media/2019/08/30/report-terminated-alleged-west-wing-leaker-madeleine-westerhout-trashed-ivanka-tiffany-trump/","Yes","Very Extreme","Very poor quality",0,"Confusion","Negative","Breitbart",1,1,"2019-08-30"
"R_2R9PYEG0sBYDazs","https://www.theblaze.com/eric-bolling/eric-bolling-and-kayleigh-mcenany-discuss","Yes","Very Extreme","High quality",1,"0","Negative","The Blaze",1,1,"2019-08-29"
"R_1OwOYLw7BODS8NT","https://spectator.org/joe-biden-puts-his-foot-in-his-electability/","No","2","Acceptable quality",0,"0","Mixed","The American Spectator",1,1,"2019-08-30"
"R_xnjFwqVUKyDaGT7","https://www.theblaze.com/","No","5","Acceptable quality",0,"0","Positive","The Blaze",1,0,""
"R_3Rs8KKUVSkzIAyU","https://www.theblaze.com/news/eric-trump-will-sue-larry-odonnell-and-msnbc","No","5","Poor quality",0,"0","Negative","The Blaze",1,1,"2019-08-28"
"R_PT1deAQGFqPeKZz","https://www.theblaze.com/news/bernie-sanders-says-hes-open-to-a-meat-tax-to-fight-climate-change","No","Somewhat extreme","High quality",0,"0","Neutral","The Blaze",1,1,"2019-08-31"
"R_2QKUQmkksHZV3ON","https://spectator.org/could-the-2020-election-be-another-1980/","No","Moderate","Acceptable quality",0,"0","Neutral","The American Spectator",1,1,"2019-09-01"
"R_3POdFD0RcboDKOw","https://www.breitbart.com/environment/2019/09/01/catastrophic-hurricane-dorian-builds-to-category-5-closes-on-bahamas/","No","Somewhat extreme","Acceptable quality",0,"Shock","Neutral","Breitbart",1,0,""
"R_DpLOfXc8SQVSdyh","https://www.breitbart.com/clips/2019/09/01/rick-scott-on-trumps-puerto-rico-tweets-i-wish-there-wasnt-rhetoric-like-there-is/","No","Moderate","High quality",0,"0","Neutral","Breitbart",1,1,"2019-08-30"
"R_1gH1TBFOBBUDYK5","https://spectator.org/why-i-pray-for-trump-a-true-hero/","No","3","Acceptable quality",0,"0","Positive","The American Spectator",1,1,"2019-08-29"
"R_2t4kDNAwYVhN7TP","https://www.breitbart.com/politics/2019/09/01/president-trump-stronger-background-checks-would-not-stop-attacks/","No","Moderate","Acceptable quality",0,"0","Negative","Breitbart",1,1,"2019-09-01"
"R_1LIjwl8jJ0mG2nj","https://www.theblaze.com/news/former-marine-had-firearms-seized-under-oregons-red-flag-law-over-anti-antifa-comments","No","Moderate","High quality",0,"0","Negative","The Blaze",1,1,"2019-09-01"
"R_1H761ILJe9eom3g","https://www.theblaze.com/news/beto-orourke-reveals-his-dark-gun-control-plan-if-president-and-says-it-wont-be-voluntary","No","8","High quality",0,"0","Positive","The Blaze",1,1,"2019-09-01"
"R_2eRxC1OTEIaOlzz","https://www.breitbart.com/politics/2019/08/31/ruth-bader-ginsburg-im-alive-and-on-my-way-to-being-very-well-after-cancer-scares/","No","2","Very high quality",0,"0","Neutral","Breitbart",1,1,"2019-08-31"
"R_11jqJ9RC3pHWUWx","https://breitbart.com/","No","3","Very high quality",0,"0","Positive","Breitbart",1,0,""
"R_3RjwLpBmZziz3N6","https://www.theblaze.com/news/nashville-catholic-school-bans-harry-potter-series-because-its-content-risks-conjuring-evil-spirits","No","Very Extreme","Poor quality",1,"0","Negative","The Blaze",1,1,"2019-09-02"
"R_1BPBf7UiNOm2SOV","https://www.theblaze.com/news/uk-mom-who-was-arrested-in-front-of-kids-jailed-for-7-hours-after-calling-transgender-activist-the-wrong-gender-is-charged","No","8","Poor quality",0,"Confusion","Negative","The Blaze",1,1,"2019-09-02"
"R_6FEERPOO0Q3CqPv","https://www.theblaze.com/news/trump-aide-resigns-after-leaking-to-the-press","No","2","Very poor quality",0,"0","Negative","The Blaze",1,1,"2019-08-29"
