"ResponseId_W2","exp_group","condition","ideo_folded","pid_strength","ss1","ss2","ss3","ss4","ss5","ss6","ss_sum","compliance_level","WELL_FEELINGS_1","WELL_FEELINGS_2","WELL_FEELINGS_3","WELL_FEELINGS_4","WELL_FEELINGS_5","WELL_FEELINGS_6","WELL_ACT_1","WELL_ACT_2","WELL_ACT_3","WELL_ACT_4","WELL_ACT_5","SMS_1","SMS_2","SMS_3","SPEECH_1","SPEECH_2","SPEECH_3","SPEECH_4","party_folded","MAL","PREPOL","COMPROMISE","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_6","ECON_PRE","ENV_PRE","IMMIG_PRE","GUN_PRE","TRUMP_PRE","ECON_POST","ENV_POST","IMMIG_POST","GUN_POST","TRUMP_POST","thermo_dem_PRE","thermo_rep_PRE","thermo_lib_PRE","thermo_con_PRE","thermo_gun_PRE","thermo_immig_PRE","thermo_climate_PRE","thermo_econ_PRE","thermo_trumpissue_PRE","understand_climate_PRE","understand_econ_PRE","understand_gun_PRE","understand_immig_PRE","understand_opideo_PRE","understand_opparty_PRE","understand_ownideo_PRE","understand_ownparty_PRE","understand_trumpissue_PRE","negtrait_otherideo_stupid_PRE","negtrait_otherparty_stupid_PRE","stupid_gun_PRE","stupid_imig_PRE","stupid_econ_PRE","stupid_climate_PRE","stupid_trumpissue_PRE","thermo_issues_PRE","understand_issues_PRE","stupid_issues_PRE","thermo_dem_POST","thermo_rep_POST","thermo_lib_POST","thermo_con_POST","thermo_gun_POST","thermo_immig_POST","thermo_climate_POST","thermo_econ_POST","thermo_trumpissue_POST","understand_climate_POST","understand_econ_POST","understand_gun_POST","understand_immig_POST","understand_opideo_POST","understand_opparty_POST","understand_ownideo_POST","understand_ownparty_POST","understand_trumpissue_POST","negtrait_otherideo_stupid_POST","negtrait_otherparty_stupid_POST","stupid_gun_POST","stupid_imig_POST","stupid_econ_POST","stupid_climate_POST","stupid_trumpissue_POST","thermo_issues_POST","understand_issues_POST","stupid_issues_POST","TRUST_ALL","SPEECH_ALL","SMS_ALL","WELLBEING_ALL","WELLACT_ALL"
"R_2czIOLokXkMfg7C","lib_c",0,5,7,0,0,0,0,0,0,0,NA,1,1,4,4,4,4,0,1,0,0,3,4,4,4,4,4,4,4,3,0,0,-1,0,0,0,0,0,0,7,7,7,7,7.33333333333333,6.33333333333333,7,7,4.66666666666667,7,100,100,100,100,93,100,96,96,100,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,NA,4,97,4,NA,95,11,94,18,14,67,24,54,60,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,43.8,7,4,0,-4,4,-2.33333333333333,-0.4
"R_UGy5A6RnbeBkcgx","cons_c",0,3,6.25,0,0,0,0,0,0,0,NA,1,1,4,4,4,6,0,0,0,0,5,1,1,1,7,7,4,4,2,0.399999999999999,0.25,0.75,0,1,1,-1,0,-1,10,9.33333333333333,6.33333333333333,10.3333333333333,13,12.6666666666667,12,7.66666666666667,12,12.6666666666667,2,83,9,60,40,32,15,50,33,1,3,2,4,1,1,6,6,1,3,4,NA,4,NA,NA,3,34,2.2,NA,6,72,1,59,8,41,18,60,10,2,1,4,1,3,1,6,5,2,2,5,5,5,6,4,5,27.4,2,5,0,-5.5,1,-2.66666666666667,-1
"R_1dzfvyX6SnJ6big","cons_t",1,5,6.75,0,0,0,0,0,0,0,"Low Compliance 
(0-2 story surveys)
N = 79",5,6,5,3,3,4,0,0,0,0,0,5,5,6,1,1,1,1,3,0,1,-3.5,-3,2,-3,-3,2,0,7,5,13,13,13,7.66666666666667,10.3333333333333,13,13,13,1,100,1,100,1,1,1,1,1,1,1,1,1,1,1,7,7,1,7,7,NA,7,NA,7,NA,1,1,NA,12,100,1,100,11,3,4,1,16,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,7,1,1,0.833333333333333,-1,5.33333333333333,-0.666666666666667,0
"R_1hxWbsh0JnS8UFu","lib_t",1,1,4.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",4,4,4,4,4,4,0,2,1,0,7,4,4,4,4,4,4,4,3,0.6,-0.75,-0.25,0,0,0,0,-1,-1,7,7,7,7,7,7,4,7,7,7,53,48,32,26,21,41,38,34,52,5,4,4,4,4,3,4,5,5,4,4,4,NA,4,NA,NA,37.2,4.4,NA,100,0,3,27,0,0,30,0,0,4,4,4,3,4,4,3,5,3,4,3,4,5,5,3,4,6,3.6,4.2,0.333333333333333,-4,4,-1.33333333333333,-0.8
"R_2VCRR2mzFeEaKM5","cons_t",1,3,5.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",3,5,5,5,5,5,0,1,0,0,5,4,3,4,4,3,4,4,3,0.2,-0.25,-0.25,-1,0,0,1,1,1,6,6,7,8.66666666666667,7.33333333333333,8,7.33333333333333,7,7.66666666666667,7,5,98,14,96,55,5,55,39,11,4,4,4,5,4,5,4,5,5,5,4,5,NA,NA,4,NA,33,4.4,NA,27,19,60,31,14,9,25,31,31,5,3,4,5,4,4,4,5,4,4,5,5,4,4,3,4,22,4.2,4,-0.333333333333333,-3.75,3.66666666666667,-2,-0.8
"R_3ilo9kTwrQ8Nhxs","lib_t",1,5,6.25,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",1,2,6,6,5,6,1,0,0,0,7,5,5,4,7,6,7,7,3,0.8,0.5,0,0,-1,0,-2,0,0,5.33333333333333,3.33333333333333,3.33333333333333,1.33333333333333,1,4.66666666666667,3.33333333333333,3,2,1,97,19,100,39,11,23,50,27,2,3,4,2,4,3,4,7,6,2,4,4,NA,4,2,NA,NA,22.6,3,NA,92,37,92,7,22,36,43,51,15,4,4,2,3,3,4,7,6,3,5,4,6,4,3,4,6,33.4,3.2,4.6,0.5,-6.75,4.66666666666667,-3.33333333333333,-1.2
"R_OIQwFxC3H0RMQiB","lib_c",0,4,4.25,0,0,0,0,0,0,0,NA,2,3,4,5,4,5,3,1,3,1,3,5,4,6,4,6,2,4,1,0.800000000000001,0.75,-1.25,2,0,0,-1,1,0,7.66666666666667,3,3.66666666666667,2.33333333333333,1.33333333333333,8,3.33333333333333,1.66666666666667,2.33333333333333,1.66666666666667,56,15,100,3,23,2,8,18,1,4,5,5,5,3,3,7,7,2,4,4,5,NA,NA,NA,7,10.4,4.2,NA,70,7,96,1,3,5,7,20,0,2,4,5,3,3,4,7,6,1,4,5,2,6,3,7,7,7,3,5,-0.333333333333333,-4,5,-2.16666666666667,1
"R_25AvA3FS3DtkO9s","lib_t",1,3,6.75,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",6,5,5,6,6,6,2,2,0,0,5,5,6,6,5,6,6,6,2,0,-1.25,0.25,0,-1,0,-1,0,-2,11,12.6666666666667,11.6666666666667,12,11,12.6666666666667,12.3333333333333,11,11.6666666666667,11.6666666666667,42,48,36,40,27,43,26,35,34,7,5,6,7,7,6,7,6,6,1,2,NA,NA,1,1,NA,33,6.2,NA,35,21,43,23,27,19,15,30,34,4,4,4,5,4,4,4,5,5,5,6,4,5,4,5,6,25,4.4,4.8,0.666666666666667,-5.75,5.66666666666667,-2,-0.2
"R_A0zgpoWVoGLs3sZ","lib_c",0,5,7,0,0,0,0,0,0,0,NA,1,1,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,3,-3,0,0,0,0,0,0,0,0,13,11,13,1,13,9,5,9,5,13,100,100,100,100,100,100,100,100,100,7,7,7,7,7,7,7,7,7,1,1,NA,NA,1,1,NA,100,7,NA,100,100,100,100,100,100,100,100,100,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,7,7,0,-7,7,-4.33333333333333,-1.4
"R_w05EvwzPzbDQoq5","cons_t",1,5,5.5,1,1,1,1,1,1,6,"High Compliance 
(5-6 story surveys)
N = 337",2,2,5,5,5,5,0,0,0,0,6,2,2,4,6,6,6,6,3,0.4,-0.25,0.25,0,0,1,1,1,1,9,11,10,10.3333333333333,8.33333333333333,11,12,9.66666666666667,12.3333333333333,10.3333333333333,45,72,48,66,50,59,54,67,55,4,4,4,4,4,4,6,6,5,4,4,NA,3,NA,NA,3,57,4.2,NA,45,66,44,68,39,51,52,49,45,4,4,3,4,3,3,6,5,4,3,3,3,2,2,3,3,47.2,3.8,2.6,-0.666666666666667,-6,2.66666666666667,-2.66666666666667,-1.2
